ID,Year,Genre,Duration
325,2012,Adventure-Mystery-Sci-Fi,124
326,1939,Drama-Romance-War,238
327,2018,Comedy-Musical-Romance,114
328,2021,Action-Adventure-Fantasy,156
329,2022,Action-Adventure-Comedy,122
330,2021,Action-Adventure-Drama,155
331,2022,Action-Adventure,116
332,2010,Action-Adventure-Sci-Fi,125
333,2006,Action-Adventure-Thriller,126
334,2012,Action-Adventure-Drama,127
335,1978,Comedy-Musical-Romance,110
336,1995,Animation-Adventure-Comedy,81
337,2018,Action-Adventure-Sci-Fi,135
338,2013,Biography-Comedy-Crime,180
339,2006,Action-Adventure-Sci-Fi,154
340,1991,Action-Adventure-Drama,143
341,1981,Action-Adventure,115
342,2016,Action-Adventure-Sci-Fi,120
343,2007,Action-Thriller,128
344,2015,Adventure-Comedy-Fantasy,117
345,2019,Action-Adventure-Fantasy,132
346,2015,Animation-Adventure-Comedy,94
347,2009,Action-Adventure-Sci-Fi,127
348,2019,Action-Drama-War,119
349,2006,Animation-Adventure-Comedy,108
350,2017,Animation-Adventure-Comedy,102
351,1985,Adventure-Comedy-Sci-Fi,116
352,2002,Animation-Adventure-Comedy,81
353,2017,Drama-Romance-Thriller,118
354,2009,Animation-Action-Adventure,94
355,2021,Action-Adventure-Sci-Fi,134
356,1998,Action-Sci-Fi-Thriller,139
357,1994,Action-Comedy-Thriller,141
358,2008,Crime-Drama-Romance,120
359,2012,Action-Crime-Thriller,92
360,2013,Action-Adventure-Sci-Fi,110
361,2015,Action-Adventure-Sci-Fi,120
362,2018,Animation-Action-Adventure,117
363,2004,Animation-Adventure-Comedy,90
364,2019,Comedy-Drama,161
365,2000,Comedy-Fantasy-Romance,127
366,2011,Animation-Action-Adventure,107
367,2005,Action-Crime-Drama,140
368,2014,Animation-Adventure-Comedy,92
369,2009,Action-Sci-Fi,107
370,2007,Adventure-Family-Fantasy,113
371,2018,Drama-Romance-Thriller,105
372,2005,Comedy-Romance,118
373,2009,Action-Adventure-Sci-Fi,115
374,2011,Action-Adventure-Sci-Fi,124
375,2014,Action-Adventure-Sci-Fi,113
376,1998,Comedy-Romance,119
377,2014,Drama-Mystery-Thriller,149
378,1993,Action-Crime-Drama,130
379,2001,Action-Adventure-Sci-Fi,92
380,2002,Comedy-Drama-Romance,95
381,2018,Comedy,118
382,1995,Action-Adventure-Thriller,128
383,2019,Action-Adventure-Comedy,132
384,2018,Horror-Mystery-Thriller,96
385,2007,Animation-Adventure-Comedy,92
386,2020,Action-Sci-Fi-Thriller,150
387,1999,Comedy-Drama-Romance,124
388,1998,Animation-Adventure-Comedy,95
389,2014,Adventure-Comedy-Family,98
390,2004,Crime-Thriller,125
391,2001,Action-Adventure-Sci-Fi,119
392,2013,Comedy-Crime,100
393,1999,Action-Adventure-Thriller,128
394,2018,Adventure-Comedy-Fantasy,110
395,2009,Action-Crime-Thriller,107
396,2014,Action-Adventure-Drama,138
397,2010,Action-Drama-Family,140
398,1992,Adventure-Comedy-Crime,120
399,2012,Animation-Adventure-Comedy,91
400,2002,Action-Crime-Mystery,145
401,2016,Animation-Drama-Fantasy,106
402,1986,Action-Drama,110
403,2016,Action-Adventure-Drama,110
404,1999,Drama,122
405,2001,Animation-Adventure-Family,125
406,1995,Adventure-Drama-History,140
407,1988,Drama,133
408,2013,Drama-Romance,143
409,2019,Adventure-Family-Fantasy,112
410,2004,Action-Mystery-Sci-Fi,115
411,1992,Drama-Mystery-Thriller,127
412,2017,Crime-Drama-Mystery,114
413,2011,Action-Adventure-Sci-Fi,131
414,2016,Animation-Action-Adventure,97
415,1995,Action-Adventure-Thriller,130
416,2002,Biography-Crime-Drama,141
417,2013,Crime-Mystery-Thriller,115
418,2001,Crime-Drama-Thriller,131
419,1994,Action-Comedy-Crime,101
420,2018,Adventure-Comedy-Crime,95
421,1994,Action-Adventure-Thriller,116
422,2000,Animation-Adventure-Drama,82
423,2018,Animation-Adventure-Comedy,130
424,1998,Action-Drama-Sci-Fi,120
425,2012,Animation-Adventure-Comedy,86
426,2014,Action-Mystery-Sci-Fi,113
427,2013,Animation-Adventure-Comedy,105
428,2004,Action-Adventure-Mystery,131
429,2001,Action-Comedy-Crime,90
430,2016,Animation-Adventure-Comedy,92
431,2017,Action-Adventure-Thriller,107
432,1995,Animation-Adventure-Drama,81
433,2000,Comedy-Family-Fantasy,104
434,2016,Action-Adventure-Sci-Fi,122
435,2011,Animation-Adventure-Comedy,87
436,2008,Action-Crime-Thriller,110
437,1994,Comedy-Family-Fantasy,91
438,2018,Drama-Horror-Sci-Fi,90
439,2007,Animation-Adventure-Comedy,107
440,2006,Animation-Adventure-Comedy,83
441,2014,Action-Drama,102
442,1995,Action-Adventure,121
443,2010,Action-Adventure-Fantasy,116
444,2008,Drama-Fantasy-Romance,166
445,2012,Action-Adventure-Comedy,94
446,1996,Action-Adventure-Thriller,136
447,2016,Action-Adventure-Fantasy,103
448,2016,Action-Adventure-Comedy,129
449,2017,Comedy-Fantasy-Sport,100
450,2005,Action-Adventure-Fantasy,106
451,1984,Action-Adventure,118
452,1997,Action-Adventure-Thriller,119
453,1989,Adventure-Comedy-Sci-Fi,108
454,2015,Animation-Adventure-Comedy,93
455,2021,Action-Adventure-Comedy,115
456,2014,Action-Comedy-Crime,112
457,2000,Comedy-Romance,108
458,1988,Animation-Adventure-Comedy,104
459,2010,Drama-Thriller,108
460,2000,Action-Adventure-Drama,130
461,1986,Action-Adventure-Comedy,97
462,2019,Comedy-Sci-Fi,116
463,1995,Crime-Drama-Mystery,127
464,2019,Action-Crime-Thriller,130
465,2006,Comedy-Drama,109
466,2014,Action-Crime-Thriller,108
467,1996,Animation-Drama-Family,91
468,2009,Animation-Adventure-Comedy,96
469,2015,Animation-Adventure-Comedy,92
470,1993,Biography-Drama-History,195
471,2010,Animation-Action-Comedy,95
472,2016,Horror-Mystery-Thriller,134
473,2018,Biography-Comedy-Drama,130
474,1992,Action-Crime-Thriller,118
475,2010,Action-Adventure-Drama,140
476,2009,Adventure-Drama-War,153
477,1996,Adventure-Comedy-Crime,103
478,2013,Horror-Mystery-Thriller,112
479,1987,Drama-Thriller,119
480,2020,Action-Adventure-Comedy,99
481,2010,Action-Adventure-Family,103
482,2009,Comedy-Drama-Romance,108
483,2001,Biography-Drama,135
484,1984,Action-Comedy-Crime,105
485,2004,Animation-Adventure-Comedy,100
486,1997,Action-Drama-Thriller,124
487,2012,Action-Adventure-Thriller,103
488,2005,Animation-Adventure-Comedy,81
489,1997,Comedy-Drama-Romance,139
490,2015,Action-Adventure-Sci-Fi,131
491,2016,Action-Horror-Sci-Fi,107
492,2017,Animation-Action-Adventure,104
493,1999,Action-Adventure-Comedy,95
494,2019,Comedy-Crime-Drama,130
495,2007,Crime-Thriller,122
496,2010,Comedy-Romance,98
497,2008,Animation-Adventure-Comedy,96
498,1996,Action-Crime-Thriller,121
499,1999,Comedy-Romance,116
500,2009,Biography-Drama-Sport,129
501,2017,Comedy-Romance,120
502,2014,Drama-Romance,126
503,2006,Biography-Drama,117
504,2012,Animation-Action-Adventure,97
505,1977,Drama-Sci-Fi,138
506,2002,Comedy-Crime-Musical,113
507,2017,Horror-Mystery-Thriller,109
508,2017,Drama-Family,113
509,2018,Action-Adventure-Thriller,102
510,2013,Action-Thriller,98
511,1998,Animation-Adventure-Comedy,88
512,2016,Action-Biography-Drama,161
513,2016,Drama-Romance-Sci-Fi,116
514,2012,Action-Adventure-Sci-Fi,131
515,1997,Comedy-Fantasy,86
516,2009,Action-Adventure-Sci-Fi,118
517,2012,Action-Adventure-Fantasy,99
518,2007,Action-Adventure-Fantasy,92
519,1991,Adventure-Comedy-Family,142
520,1978,Action-Adventure-Sci-Fi,143
521,1985,Drama-Sport,91
522,1985,Action-Adventure-Thriller,96
523,2010,Action-Horror-Sci-Fi,96
524,2004,Action-Adventure-Fantasy,131
525,1999,Adventure-Comedy-Family,84
526,1987,Action-Comedy-Crime,100
527,2016,Adventure-Family-Fantasy,113
528,1997,Comedy-Drama-Romance,105
529,2011,Action-Drama-Sci-Fi,127
530,2008,Animation-Adventure-Comedy,86
531,2018,Action-Comedy-Crime,110
532,2020,Drama-Horror-Sci-Fi,97
533,2015,Action-Adventure-Sci-Fi,119
534,1989,Comedy,93
535,2002,Action-Adventure-Comedy,94
536,1984,Action-Comedy-Fantasy,105
537,2016,Adventure-Drama-Family,127
538,2000,Action-Adventure-Sci-Fi,104
539,2017,Animation-Adventure-Comedy,108
540,2010,Mystery-Thriller,138
541,1998,Comedy-Family-Fantasy,85
542,2007,Animation-Adventure-Comedy,91
543,2010,Action-Thriller,100
544,2009,Animation-Action-Adventure,88
545,2006,Crime-Drama-Thriller,151
546,2000,Drama-Horror-Mystery,130
547,2018,Action-Adventure-Fantasy,111
548,2004,Action-Mystery-Thriller,108
549,2010,Comedy-Drama-Romance,146
550,1998,Comedy-Drama-History,123
551,2014,Action-Adventure-Mystery,139
552,1988,Comedy-Romance,117
553,2005,Comedy-Romance,119
554,2011,Comedy-Romance,125
555,2018,Action-Adventure-Sci-Fi,143
556,1995,Comedy-Family-Fantasy,100
557,2001,Comedy,108
558,2015,Comedy-Music,115
559,1999,Crime-Drama-Fantasy,189
560,2013,Action-Adventure-Sci-Fi,124
561,2013,Action-Drama-Sci-Fi,109
562,1998,Action-Crime-Thriller,127
563,2012,Action-Adventure-Sci-Fi,132
564,2013,Animation-Adventure-Comedy,96
565,2014,Adventure-Comedy-Family,95
566,2001,Comedy-Drama-Romance,97
567,2022,Biography-Drama-Music,159
568,2010,Action-Thriller,103
569,2016,Horror-Thriller,117
570,2000,Comedy,88
571,2002,Action-Adventure-Thriller,124
572,2012,Action-Adventure-Thriller,135
573,2014,Animation-Adventure-Comedy,92
574,2002,Adventure-Comedy-Family,89
575,2012,Biography-Drama-History,150
576,2001,Action-Adventure-Fantasy,100
577,2018,Action-Adventure-Fantasy,119
578,2010,Action-Adventure-Thriller,103
579,2013,Animation-Adventure-Comedy,95
580,1996,Comedy-Romance-Sci-Fi,95
581,1996,Comedy-Drama-Romance,139
582,2003,Action-Comedy-Crime,147
583,2002,Animation-Adventure-Comedy,85
584,1991,Crime-Drama-Thriller,118
585,2010,Comedy,102
586,2014,Comedy,97
587,1993,Drama-Mystery-Thriller,154
588,2013,Comedy-Crime,110
589,2008,Drama,116
590,2008,Action-Adventure-Drama,109
591,2007,Biography-Crime-Drama,157
592,2013,Animation-Action-Adventure,102
593,2014,Action-Adventure-Drama,150
594,1942,Animation-Adventure-Drama,69
595,2009,Animation-Adventure-Comedy,97
596,1992,Action-Crime-Fantasy,126
597,1993,Drama-Romance,117
598,2003,Comedy-Drama-Romance,128
599,2004,Comedy-Drama-Romance,108
600,2008,Action-Adventure-Sci-Fi,112
601,1995,Action-Adventure-Sci-Fi,135
602,1998,Comedy-Drama,103
603,2000,Action-Adventure-Comedy,98
604,1997,Action-Adventure-Sci-Fi,126
605,2019,Drama-Thriller,132
606,1995,Adventure-Comedy-Family,104
607,2006,Comedy,84
608,2005,Animation-Adventure-Comedy,91
609,2010,Action-Adventure-Comedy,109
610,1990,Action-Adventure-Sci-Fi,113
611,2009,Documentary-Drama-Music,111
612,2019,Action-Adventure-Sci-Fi,128
613,2013,Action-Adventure-Western,150
614,2011,Action-Mystery-Sci-Fi,112
615,2015,Action-Adventure-Drama,127
616,2017,Action-Drama-Mystery,164
617,2003,Action-Adventure-Comedy,106
618,2007,Action-Comedy-Crime,91
619,1997,Comedy-Drama,91
620,2017,Action-Adventure-Comedy,107
621,2014,Horror-Mystery-Thriller,99
622,2021,Animation-Comedy-Family,102
623,2004,Drama-Mystery-Thriller,108
624,2015,Action-Adventure-Comedy,114
625,2000,Biography-Drama,131
626,2019,Comedy-Sport,98
627,2017,Horror-Mystery-Thriller,104
628,2008,Comedy-Drama-Family,111
629,2018,Crime-Horror-Thriller,106
630,2019,Horror-Mystery-Thriller,116
631,1993,Action-Adventure-Thriller,113
632,2017,Action-Drama,167
633,1995,Comedy-Drama-Family,91
634,2019,Action-Adventure-Comedy,114
635,2007,Action-Adventure-Comedy,100
636,2008,Comedy-Drama-Family,112
637,1997,Animation-Adventure-Comedy,93
638,2019,Action-Adventure-Sci-Fi,113
639,2010,Drama-Western,110
640,2020,Adventure-Comedy-Family,101
641,1997,Adventure-Comedy-Family,89
642,2013,Crime-Drama,138
643,1998,Action-Thriller,132
644,1998,Comedy-Drama-Romance,119
645,2006,Action-Adventure-Family,104
646,2003,Animation-Adventure-Comedy,85
647,1972,Crime-Drama,175
648,1998,Action-Adventure-Comedy,136
649,2002,Horror-Mystery,115
650,1999,Horror-Mystery,81
651,2000,Drama-Mystery-Sci-Fi,106
652,2017,Adventure-Comedy-Family,109
653,1994,Comedy,107
654,2019,Drama-Horror-Sci-Fi,129
655,2013,Comedy,101
656,2015,Animation-Adventure-Comedy,88
657,2011,Animation-Action-Adventure,107
658,2022,Animation-Adventure-Comedy,100
659,1994,Comedy-Drama-Romance,117
660,1997,Action-Crime-Sci-Fi,138
661,2016,Action-Adventure-Comedy,112
662,2012,Comedy-Fantasy-Horror,113
663,2003,Action-Sci-Fi,138
664,2003,Comedy-Drama-Romance,135
665,2019,Action-Drama-Family,118
666,2008,Comedy-Romance,106
667,1990,Adventure-Comedy-Sci-Fi,118
668,2015,Action-Comedy-Fantasy,105
669,2014,Action-Adventure-Fantasy,98
670,1998,Action-Comedy-Crime,98
671,2008,Action-Adventure-Family,93
672,2013,Action-Adventure-Sci-Fi,100
673,1992,Drama-Thriller,138
674,2009,Animation-Adventure-Comedy,90
675,2002,Drama-Music,110
676,2015,Comedy-Family,96
677,2014,Action-Crime-Sci-Fi,117
678,1996,Action-Crime-Thriller,115
679,2017,Horror-Sci-Fi-Thriller,122
680,2016,Biography-Drama,96
681,2016,Action-Adventure-Sci-Fi,115
682,2006,Comedy-Drama-Fantasy,107
683,2020,Animation-Action-Adventure,110
684,2012,Action-Horror-Sci-Fi,95
685,1990,Action-Thriller,124
686,1988,Action-Adventure-Comedy,108
687,2013,Animation-Adventure-Comedy,91
688,2018,Comedy-Drama-Romance,120
689,1997,Action-Sci-Fi,125
690,2010,Adventure-Comedy-Family,85
691,2000,Action-Crime-Thriller,118
692,1977,Drama-Music,118
693,2012,Comedy-Drama-Romance,122
694,2003,Action-Adventure-Crime,107
695,2004,Animation-Adventure-Family,119
696,2016,Biography-Drama-History,127
697,2001,Drama-Sci-Fi,146
698,1989,Comedy-Drama,128
699,2015,Action-Comedy,120
700,1999,Comedy,95
701,2012,Comedy,113
702,1999,Comedy-Drama,93
703,2015,Animation-Adventure-Comedy,92
704,2014,Biography-Drama-Thriller,114
705,2021,Adventure-Comedy-Crime,134
706,2008,Adventure-Drama-Sci-Fi,104
707,2003,Comedy,96
708,2011,Crime-Drama-Mystery,158
