ID,Gross,Worldwide_Gross
690, 42.78M,237382724
691, 101.65M,237202299
692, 94.21M,237113184
693, 132.09M,236412453
694, 127.15M,236350661
695, 4.71M,236323601
696, 169.61M,235956898
697, 78.62M,235926552
698, 95.86M,235860116
699, 110.83M,235666219
700, 102.56M,235483004
701, 57.01M,234989584
702, 163.48M,234801895
703, 85.89M,234798636
704, 91.13M,233555708
705, 86.10M,233503234
706, 79.37M,233093859
707, 104.57M,232722935
708, 102.52M,232617430
709, 143.50M,232372681
710, 136.03M,232325503
711, 33.30M,232225908
712, 78.65M,231976425
713, 139.61M,231605150
714, 74.15M,231252591
715, 75.98M,230884728
716, 130.32M,230685453
717, 90.46M,230594962
718, 57.60M,230098753
719, 159.58M,229930771
720, 128.34M,229147509
721, 115.80M,228738393
722, 1.29M,228122928
723, 40.44M,227994792
724, 126.53M,227927165
725, 147.25M,227853986
726, 98.78M,227817248
727, 87.10M,227514205
728, 1.89M,227091290
729, 107.83M,226945087
730, 83.50M,226904017
731, 145.00M,226837760
732, 88.76M,226497209
733, 55.70M,226349749
734,******,226120658
735, 41.19M,225973340
736, 138.43M,225933435
737,******,225918798
738, 117.62M,225508210
739, 80.17M,225132113
740, 173.40M,225097437
741, 96.96M,224920375
742, 106.83M,224874811
743, 101.12M,224012234
744, 105.26M,223664608
745, 89.71M,223387299
746, 97.69M,223241637
747, 92.17M,222809600
748, 130.72M,222724172
749, 119.19M,222446882
750, 113.81M,222104681
751, 0.18M,221831086
752, 33.70M,221600160
753, 86.30M,221303188
754, 116.99M,220889446
755, 110.00M,220673217
756, 101.01M,220239925
757, 34.34M,220021259
758, 148.73M,219922417
759, 116.60M,219851172
760, 80.28M,219375562
761, 112.74M,219103655
762, 77.87M,219100084
763, 107.10M,218791811
764, 101.22M,218613188
765, 80.07M,218340595
766, 47.40M,218122627
767, 86.09M,217776646
768,******,217254604
769, 56.28M,217124280
770, 127.44M,216972543
771, 100.49M,216763646
772, 169.71M,216639112
773, 111.94M,216614388
774, 108.10M,216601214
775, 110.49M,216528528
776, 100.29M,216197492
777,******,216000000
778, 58.57M,215905815
779, 122.19M,215887717
780, 144.88M,215880014
781, 81.48M,215863606
782, 82.52M,215862692
783, 69.24M,215663859
784, 112.49M,215394738
785, 113.33M,215294342
786, 63.15M,215283742
787, 103.03M,214945591
788, 39.32M,214657577
789, 0.62M,214577242
790, 115.72M,214215889
791, 83.24M,214115531
792, 97.10M,214104620
793, 121.66M,214034224
794, 83.02M,214015089
795, 107.93M,213928762
796, 102.61M,213719942
797, 128.08M,213525736
798, 75.60M,213216216
799, 128.00M,212902372
800, 110.10M,212874864
801, 106.81M,212742720
802, 87.70M,212404396
803, 108.39M,212385533
804, 66.89M,211989043
805, 24.25M,211952420
806, 85.82M,211822697
807, 83.55M,211819354
808, 49.55M,211787511
809, 100.54M,211780824
810, 93.93M,211622535
811, 118.63M,211468235
812, 111.54M,211343479
813,******,211019042
814, 115.65M,210888950
815, 70.31M,210308099
816, 96.52M,209947037
817, 117.54M,209838559
818,******,209221380
819, 93.15M,209196298
820, 93.44M,209035668
821, 56.25M,208314186
822, 126.37M,208076205
823, 116.93M,207725639
824, 144.53M,207517509
825, 124.12M,207515725
826, 104.01M,207039844
827, 77.32M,206678440
828, 65.63M,206401480
829, 101.07M,206071502
830, 63.22M,205850134
831, 0.39M,205846481
832, 141.84M,205843612
833, 62.68M,205754447
834, 118.70M,205668210
835, 0.02M,205637183
836, 88.92M,205599393
837, 70.41M,205405498
838, 73.10M,205366737
839, 84.16M,205322941
840, 64.51M,205035819
841, 15.09M,204826668
842, 110.33M,204681899
843, 80.57M,204594016
844, 129.36M,204334455
845, 100.02M,204313400
846, 100.04M,203785209
847, 118.87M,203627753
848, 51.88M,203567857
849, 100.25M,203509374
850, 43.48M,203427584
851, 100.61M,203388341
852, 100.55M,203388186
853, 43.58M,203277636
854, 75.37M,203172417
855, 135.03M,202292902
856, 135.27M,202084756
857, 91.46M,201957688
858, 161.20M,201634991
859, 138.45M,201585328
860, 83.08M,201545517
861, 85.11M,200811689
862, 93.39M,200687492
863, 122.01M,200512643
864, 68.56M,199850315
865, 93.35M,199043471
866, 90.38M,199006387
867,******,198921659
868, 78.69M,198685114
869, 113.09M,198636868
870, 120.91M,198520934
871, 58.88M,198467168
872, 0.67M,198326350
873, 19.02M,198087212
874, 0.06M,197757387
875, 99.22M,197744377
876, 65.19M,197687603
877, 45.02M,197183546
878,******,197143218
879, 111.76M,197101678
880, 96.40M,197079546
881,******,196833000
882, 83.91M,196710396
883, 71.57M,196567262
884, 82.16M,196393745
885, 125.01M,196114570
886, 135.65M,195745823
887, 110.52M,195702963
888, 63.86M,195333312
889, 96.37M,195320400
890, 100.77M,195268056
891, 55.48M,195243411
892, 75.76M,194564672
893, 56.11M,194137091
894, 99.97M,193967670
895, 118.91M,193921372
896, 7.80M,193840806
897, 77.81M,193772504
898, 0.71M,193678298
899, 107.92M,193355800
900, 105.81M,192456290
901, 101.53M,192330738
902, 96.85M,192199131
903,******,191602146
904, 113.50M,191502426
905, 158.12M,191466556
906,******,190844029
907, 144.83M,190539357
908, 138.61M,190538630
909, 102.08M,190400157
910, 73.21M,190213455
911, 67.82M,189859560
912, 0.61M,189396380
913, 83.90M,189176423
914, 0.77M,189017596
915, 53.72M,189015611
916, 58.24M,188133322
917,******,188116796
918, 102.92M,187884007
919, 56.67M,187733202
920, 67.44M,187436818
921, 68.22M,187361754
922, 110.36M,187281115
923, 120.06M,187134117
924, 75.38M,186883563
925, 119.52M,186797986
926,******,186699768
927, 47.89M,186303759
928, 66.48M,186167139
929, 84.05M,186053725
930, 88.51M,186003591
931, 161.49M,185991646
932, 73.86M,185770310
933, 104.90M,185400345
934, 107.51M,185382813
935, 124.06M,185260553
936, 57.39M,184935320
937, 184.93M,184925486
938, 108.09M,184367145
939, 113.26M,183936074
940, 47.39M,183887723
941, 79.96M,183658498
942, 66.96M,183611771
943, 72.68M,183510278
944,******,183442714
945, 20.82M,183348429
946, 121.70M,183097323
947, 101.63M,183031272
948, 64.94M,183018522
949, 56.97M,182968902
950, 79.10M,182291969
951, 75.85M,182290266
952, 0.71M,182206924
953, 81.06M,182057016
954, 71.52M,182016617
955,******,181732879
956, 60.67M,181674817
957, 105.49M,181489203
958, 0.15M,181325565
959, 84.22M,181239132
960, 69.47M,181096164
961, 104.45M,181001478
962, 70.10M,180906076
963, 60.72M,180734901
964, 91.05M,180630907
965, 127.22M,180622424
966, 104.03M,180613824
967, 67.21M,180563636
968, 64.04M,180557550
969, 81.90M,180419276
970, 84.92M,179519401
971, 59.65M,179379533
972, 66.47M,179265204
973, 66.18M,179246868
974, 102.54M,179179718
975, 124.03M,179033791
976, 93.95M,178866158
977, 101.11M,178767383
978, 88.10M,178311729
979, 64.67M,178281554
980, 90.71M,178262620
981, 67.13M,178127760
982, 83.04M,178062759
983, 83.29M,178051587
984, 92.98M,177977226
985, 58.06M,177856751
986, 116.74M,177841558
987, 79.88M,177584879
988, 84.75M,177512032
989, 105.81M,177502387
990, 80.28M,177427090
991, 53.71M,177395557
992, 109.45M,177378645
993, 116.63M,177313795
994, 91.41M,177311151
995, 82.58M,177243185
996, 77.22M,177238796
997, 177.20M,177200271
998, 102.31M,176997168
999, 106.89M,176885658
1000, 75.47M,176600207
