ID,Movie_Rating,Metascore,Votes
643,7.3,67,244745
644,6.7,57,214320
645,5.1,38,126892
646,6.8,48,111233
647,9.2,100,1837508
648,6.8,63,184739
649,7.1,57,349196
650,6.5,81,260578
651,7.3,62,417360
652,5.4,59,3223
653,7.3,41,384683
654,6.6,43,242398
655,5.3,19,155190
656,7,67,46367
657,7.2,75,265169
658,6.8,64,34976
659,7.1,81,153235
660,7.3,82,377112
661,5.9,40,93519
662,6.2,55,267793
663,5.6,54,268427
664,7.6,55,479093
665,5.7,******,996
666,7.1,******,42377
667,7.4,55,444848
668,5.6,27,145080
669,6,47,156568
670,7,60,268029
671,5.8,57,123377
672,4.8,33,201604
673,7.7,62,264137
674,6.9,66,232801
675,7.2,77,288870
676,6.1,42,120075
677,6.2,52,228750
678,6.2,56,112248
679,6.4,65,281193
680,7.4,74,271982
681,5.6,36,199443
682,6.4,45,331476
683,6.5,******,1870
684,5.3,39,143230
685,7.1,67,361348
686,5.7,41,57738
687,5.7,39,45618
688,6.9,74,172141
689,3.7,28,253905
690,4.9,33,70008
691,6.5,35,279039
692,6.8,77,80515
693,7.7,81,707140
694,5.9,38,274150
695,8.2,80,391972
696,7.8,74,228994
697,7.2,65,307919
698,8.1,79,486476
699,7,75,245477
700,7,58,406463
701,6.7,49,214905
702,6.4,41,217887
703,4.9,33,19973
704,8,71,764115
705,7.3,59,231138
706,5.5,40,171254
707,6.3,43,206883
708,7.8,71,462302
709,7.5,81,521898
710,7.7,86,613402
711,6.4,56,126641
712,7.4,87,190524
713,6.5,51,99469
714,5.9,53,75656
715,7,50,345895
716,6.5,54,218695
717,6.5,59,197989
718,8.6,59,689557
719,6.6,60,172940
720,6.9,60,231550
721,5.2,35,239770
722,6.7,******,2976
723,7.8,88,78529
724,6.8,72,176528
725,7.2,70,176663
726,5.8,39,160903
727,7.1,69,80266
728,7,69,3159
729,7.6,86,531492
730,6,46,169079
731,7.8,51,601606
732,5.8,47,189434
733,6.1,23,207038
734,6,60,97542
735,6.4,51,181635
736,8.3,70,958499
737,7.5,83,9790
738,8.1,81,386696
739,6.1,35,307280
740,7,64,265528
741,7.8,95,698176
742,7.1,88,192451
743,6.9,52,299733
744,7.5,59,322719
745,6.3,53,163219
746,6.8,46,362007
747,6.9,56,264924
748,6.4,63,155254
749,7.5,67,129811
750,4.9,38,161503
751,6.1,******,396
752,5.3,21,108381
753,6.9,72,42551
754,6.6,50,186684
755,5.5,49,148137
756,7.5,71,403122
757,6.2,42,176211
758,6.9,85,370021
759,5.5,39,285243
760,6.1,36,177583
761,6.5,57,93187
762,7.4,55,457518
763,7.8,82,458764
764,7.1,64,132633
765,7,50,341527
766,7.2,63,288615
767,3.3,12,64680
768,6.1,******,513
769,6.2,40,195378
770,6.3,52,190383
771,8.1,86,684956
772,8.1,62,457691
773,6.1,53,125275
774,7.8,91,201976
775,5.7,34,120271
776,5.6,47,203732
777,6.6,******,634
778,6.9,56,43280
779,6.9,74,100222
780,7.3,83,168257
781,6.3,48,209744
782,7.4,57,217157
783,5.9,48,62163
784,6.6,56,207469
785,7.2,63,275099
786,6.1,46,162670
787,6.4,33,244880
788,6.1,35,182933
789,7,65,231933
790,7.1,66,124925
791,6.6,60,39768
792,7,70,303464
793,7.9,68,545806
794,6.1,58,50693
795,8.9,94,2029060
796,7.5,77,361079
797,7.9,94,269385
798,8.4,68,1032016
799,5.9,69,141663
800,6,33,95677
801,6.3,43,210746
802,6.3,54,116636
803,6.4,45,218023
804,5.8,33,111239
805,6.5,59,76123
806,7.5,64,486715
807,5.7,37,180761
808,6.6,53,125206
809,6.5,51,343897
810,7.4,81,221838
811,6.8,62,209564
812,7.6,88,262826
813,6.7,******,667
814,7.9,81,679692
815,6.2,66,101670
816,7.6,74,366446
817,6.9,57,448740
818,7.4,******,4340
819,7.2,60,273714
820,6.4,60,182944
821,7.4,51,251829
822,6.7,52,223518
823,6,45,148050
824,6.8,58,384844
825,7.6,86,207817
826,5.8,59,95454
827,7.7,66,242042
828,6.3,53,113608
829,7.3,65,359468
830,6.9,52,284868
831,6.6,72,4700
832,7.6,65,183055
833,5.9,28,158975
834,5.8,45,133142
835,6.7,68,12944
836,6.4,28,219572
837,8,72,156390
838,6.3,52,222455
839,6,60,236909
840,7.2,43,72732
841,7.6,86,143771
842,6.1,47,146198
843,5.8,50,97766
844,7.1,45,177688
845,5.6,54,202753
846,5.8,46,39322
847,6.7,81,130999
848,6.3,46,168657
849,4.6,35,22175
850,7.1,64,217969
851,6.9,45,267296
852,7.9,81,687333
853,6.4,39,171494
854,5,27,87145
855,6.8,25,114075
856,6.7,51,94675
857,6.2,61,150256
858,7.8,72,201932
859,7.2,69,556062
860,7.1,56,245027
861,6.1,49,96896
862,5.1,47,59863
863,7.5,58,200285
864,5.7,39,118717
865,6.1,42,119039
866,7,60,309159
867,6.6,******,2404
868,6.7,54,121219
869,5.6,30,95001
870,6.8,48,355191
871,6.2,43,254967
872,6.2,61,1751
873,7.5,73,223973
874,6.2,55,3533
875,7.2,60,78143
876,6.3,51,139422
877,5.9,40,21802
878,4.7,******,471
879,4.3,57,60852
880,6.8,65,280108
881,7.4,49,136778
882,6,39,141573
883,7,42,191090
884,6.3,59,168626
885,6.8,43,194851
886,6.2,52,216400
887,7,71,414914
888,7.3,87,417542
889,7.3,69,174642
890,6.6,50,88065
891,6.3,66,86377
892,7.1,51,251894
893,7.5,87,136257
894,5.9,53,56278
895,6.4,45,116714
896,7.5,72,40645
897,7.5,72,440994
898,5.9,******,3229
899,6.3,68,240026
900,6.6,65,66840
901,7.2,57,370174
902,7.4,64,56300
903,6.8,73,1534
904,6.9,57,155569
905,6.4,48,179890
906,6.1,60,107185
907,6.5,57,115965
908,5.9,46,102741
909,6.7,50,159456
910,5.8,24,131978
911,6.6,64,130266
912,6,******,1312
913,7,60,106169
914,6.4,******,1664
915,5.8,36,131800
916,7.3,54,317252
917,6.8,******,4600
918,5.8,51,78895
919,8.1,96,697506
920,8.3,76,650648
921,6,53,97778
922,5.9,49,145321
923,5.9,37,148092
924,6.7,65,41578
925,7.8,72,251365
926,5.6,******,1235
927,5.3,38,16595
928,5.1,30,106590
929,6.9,52,120319
930,7.6,76,372552
931,6.1,41,164784
932,7.5,83,323110
933,5.8,40,64635
934,7.6,56,550223
935,7.2,72,90410
936,7.6,66,285299
937,7.6,95,199508
938,5.4,41,34659
939,6.2,60,125657
940,5.3,40,188877
941,6.2,41,235104
942,4.8,35,37736
943,6.8,56,62604
944,7.3,******,8191
945,5.2,39,110992
946,7,57,157683
947,7,62,112377
948,5.6,46,88106
949,6.5,48,168134
950,7.3,73,195086
951,5.1,34,49475
952,4.9,******,5111
953,6.7,67,103474
954,7.6,69,82009
955,2.5,******,3250
956,5.7,50,105442
957,6.4,58,49703
958,6.6,******,2250
959,5.1,34,57979
960,6.7,61,108955
961,7.7,72,268139
962,8.2,69,1106348
963,7,61,38652
964,5.5,45,139017
965,6.2,45,114304
966,6,30,73585
967,8.1,71,519526
968,7.1,59,311544
969,7.2,83,151213
970,6.5,47,53396
971,6.4,58,306587
972,5.8,30,176615
973,5.7,33,122686
974,5.3,42,220544
975,6.8,70,57660
976,6.4,47,173744
977,6.6,43,187619
978,6,44,136227
979,6.6,74,126561
980,5.1,40,121998
981,6,43,91310
982,7.7,87,356481
983,6.8,64,112761
984,5.3,37,90045
985,5.5,37,186464
986,6.5,40,87441
987,7.2,72,157803
988,5.7,53,104677
989,6.4,45,238604
990,5.6,29,201179
991,7.9,85,181634
992,7.1,73,436221
993,7.2,65,115446
994,5,42,76733
995,7.3,84,242388
996,6.7,47,259316
997,7.4,88,107311
998,7.2,74,104598
999,6.7,61,154726
1000,6.9,47,230821
